"train_1"	"train_2"	"train_3"	"train_4"	"train_5"	"train_6"	"train_7"	"train_8"	"train_9"	"train_10"	"train_11"	"train_12"	"train_13"	"train_14"	"train_15"	"train_16"	"train_17"	"train_18"	"train_19"	"train_20"	"train_21"	"train_22"	"train_23"	"train_24"	"train_25"
"1"	0.0014	0.000562500000000001	0.000347826086956522	0.00030070332571216	0.000418495044113182	4e-04	0.000349079340609594	0.000307067667962818	0.000365539302107428	0.000381257744657376	0.000376873603118204	0.000310907132970882	0.000388128981818842	0.00034304016519872	0.000281644456039744	0.00037963992777724	0.00027165446142993	0.000391392878341916	0.000340810048297735	0.000272850818643745	0.000277314759665468	0.000275514581004241	0.000403357063985436	0.000652887183374207	0.000141510056486014
"2"	0.00108	0.001125	0.00117391304347826	0.00351597758684805	0.000754747126316198	0.000574846938941198	0.000308318679976291	0.000363584258974726	0.000474107952712256	0.000377764069392315	0.000345334365131663	0.000326749019167484	0.000314559888729441	0.000416657914131432	0.000297921755612507	0.000284405519650961	0.000420014214296519	0.000373676269965888	0.000299681046603698	0.000291712259324762	0.000345399641143934	0.000164198836378819	0.000359370907417902	0.000340003531122248	8.56330529347584e-05
"3"	0.0014	0.001125	0.000347826086956522	0.00122727272727273	0.000642857142857143	0.000553850979481771	0.000586194871851621	0.000314795752688679	0.000347337180533423	0.000268203063937286	0.000433739046877193	0.000394475670147527	0.000519825801825418	0.0003713791664105	0.000270876426390589	0.000244741089695769	0.000502130694985663	0.00024875794654575	0.000333596359104491	0.000283011357753336	0.000610184389230386	0.000359832887994371	0.000452947500531875	0.000291131115529602	0.000571907106699091
"4"	0.0014	0.000333333333333333	0.00117391304347826	0.000613636363636364	0.000391229594140941	0.000512497572849282	0.000308548655919312	0.00033370226527348	0.000392209614439764	0.00041895791836514	0.000533333333333334	0.000272125506186404	0.000357072090215619	0.000301834192037782	0.000526389969746047	0.000302746910636677	0.000401078129590121	0.000354787811072839	0.000340186060506641	0.000304665953197209	0.000320101405323168	0.000156853528769689	0.000453010002030216	0.00030020683444512	0.000160495169686577
"5"	0.00172	0.000333333333333333	0.00152173913043478	0.000363636363636364	0.00106977747660882	0.000299773017280775	0.000293816378847024	0.000424966662359627	0.000328248929458352	0.000342055795627791	0.000430777762754151	0.000376872848662672	0.000355258784052064	0.000282525062099345	0.000289547345252243	0.000306040601689857	0.000330172150086945	0.000307195632592099	0.000280383660448541	0.000469064162111712	0.000423108708354902	0.000407017586989649	0.000244438420897513	0.000234905681845758	0.000867156461308305
"6"	0.00172	0.001125	0.000586956521739131	0.00219283001722231	0.000858518186285097	0.000332483207349327	0.000328409240845042	0.000643579586384475	0.000396927665623992	0.000288811627177416	0.000313261437771366	0.000334434057545492	0.000558895682117772	0.000333080443636996	0.000330036710947338	0.000253252283896735	0.000290660623112078	0.00022932526866708	0.000260685499792784	0.000227568281340995	0.000511303087087798	0.00033765577314966	0.000458362186202528	0.000384064239638802	0.000287113805727439
"7"	0.0014	0.00112500000000001	0.000347826086956521	0.000666802032933042	0.000341577854469933	0.000292545721218	0.000309422934548041	0.000375572770419953	0.000456524043449229	0.000378224518697333	0.000264240673936644	0.000363413100396598	0.000276457965819799	0.000338526681545528	0.000494839941680339	0.000346763177659413	0.000281325521448107	0.000411292614235381	0.000355879417039457	0.000218027271194184	0.00028536862413758	0.000439667410214721	0.000296761235680464	0.000126706159309439	0.000247368098581101
"8"	0.0014	0.0005625	0.00117391304347826	0.00122727272727273	0.000642857142857143	0.000996903990140107	0.000710526315789474	0.000401916119424368	0.000375428700550518	0.000300112063687356	0.000334323663115463	0.000312018503706843	0.000334082252465692	0.000282121007962956	0.000347398023578344	0.000372240785985116	0.000323608397361444	0.000311541560341538	0.000319594783997223	0.000439011231120904	0.000344387205445484	0.000515136163457391	9.84715419216786e-05	0.000220966361918133	0.000172397409365435
"9"	0.00108	0.0005625	0.00117391304347826	0.00259090909090909	0.000368471864737376	0.000675000000000001	0.000264923455096683	0.000488926856349802	0.000347353318595072	0.0016875	0.00033549858137062	0.000330889422634478	0.000310957816279258	0.000444458994629022	0.000357487821681143	0.000308677904649584	0.000262728827028087	0.000287314334874844	0.000253945722737718	0.000195008362163767	0.000346951496839804	0.000316265938185653	0.000378556004841217	0.00041969608757453	0.000172397409365434
"10"	0.00108	0.00145833333333333	0.000347826086956522	0.000613636363636365	0.00128571428571429	0.000527067506915546	0.000370828491861943	0.000304945148399122	0.000491999982913825	0.000290527592181794	0.000436142997145753	0.000417074859270795	0.000305089947684967	0.000392653890523542	0.000242967046590727	0.000290316888843015	0.000295270200761327	0.000275177387071674	0.000297833087621497	0.000344226307928835	0.000297344733658392	0.000350626165048976	0.000335105733388138	0.000272531728611617	9.77704983521861e-05
